#IC - 'simple pruning + simple order' 
nbCandidates , nbVoters , duration
3,2,0.0001376
4,2,0.0001557
5,2,0.0005565
6,2,0.0023203
7,2,0.0029109
8,2,0.0270829
9,2,0.218496
10,2,1.28606
11,2,6.53504
12,2,75.7841
4,3,5.51e-05
5,3,0.0002013
6,3,0.0007273
7,3,0.0047756
8,3,0.0249042
9,3,0.232625
10,3,1.04827
11,3,13.6421
12,3,88.6687
5,4,0.0002476
6,4,0.0008056
7,4,0.0076085
8,4,0.0242535
9,4,0.131129
10,4,2.30528
11,4,13.091
12,4,208.488
6,5,0.0011971
7,5,0.0053644
8,5,0.0311012
9,5,0.292843
10,5,2.94406
11,5,23.2601
12,5,286.032
7,6,0.0056478
8,6,0.0441621
9,6,0.142236
10,6,2.94166
11,6,25.9541
12,6,112.285
8,7,0.03123
9,7,0.303828
10,7,1.30089
11,7,22.3679
12,7,182.962
9,8,0.261676
10,8,2.64517
11,8,20.7922
12,8,335.641
10,9,2.06383
11,9,20.7006
12,9,267.429
11,10,19.265
12,10,375.612
12,11,308.924
